size,engine,repeat,triples_in,answer_count,load_ms,compute_ms,timed_out
small,standard,0,1740,8100,5.925,4.975,False
small,standard,1,1740,8100,2.505,3.332,False
small,standard,2,1740,8100,2.853,3.478,False
small,datafusion,0,1740,8100,2.663,59.767,False
small,datafusion,1,1740,8100,2.719,4.52,False
small,datafusion,2,1740,8100,2.648,4.81,False
small,reasonable,0,1742,9844,1.686,5.247,False
small,reasonable,1,1742,9844,1.606,5.12,False
small,reasonable,2,1742,9844,1.663,4.783,False
medium,standard,0,32084,184320,53.499,71.154,False
medium,standard,1,32084,184320,51.922,69.673,False
medium,standard,2,32084,184320,52.261,70.021,False
medium,datafusion,0,32084,184320,48.723,24.169,False
medium,datafusion,1,32084,184320,52.516,22.18,False
medium,datafusion,2,32084,184320,70.788,22.621,False
medium,reasonable,0,32086,216408,30.113,119.714,False
medium,reasonable,1,32086,216408,31.01,118.08,False
medium,reasonable,2,32086,216408,31.44,121.942,False
large,standard,0,210260,1433600,368.863,523.62,False
large,standard,1,210260,1433600,362.224,515.906,False
large,standard,2,210260,1433600,361.584,518.371,False
large,datafusion,0,210260,1433600,357.884,122.845,False
large,datafusion,1,210260,1433600,361.569,130.481,False
large,datafusion,2,210260,1433600,378.042,131.264,False
large,reasonable,0,210262,1643863,237.091,1016.405,False
large,reasonable,1,210262,1643863,229.733,1010.26,False
large,reasonable,2,210262,1643863,232.311,1012.985,False
huge,standard,0,1269530,8750000,2473.142,3126.168,False
huge,standard,1,1269530,8750000,2463.373,3117.756,False
huge,standard,2,1269530,8750000,2447.468,3189.358,False
huge,datafusion,0,1269530,8750000,2445.001,703.685,False
huge,datafusion,1,1269530,8750000,2455.132,703.714,False
huge,datafusion,2,1269530,8750000,2461.507,716.077,False
huge,reasonable,0,1269532,10019011,1571.3,10040.513,False
huge,reasonable,1,1269532,10019011,1525.788,9946.131,False
huge,reasonable,2,1269532,10019011,1541.255,9381.816,False
