engine,target_points,actual_points,polygons,repeat,parse_ms,query_ms,matches
spargeo,100,100,10,0,1.680,1.267,3
spargeo,100,100,10,1,0.542,1.358,3
spargeo,100,100,10,2,0.528,1.242,3
geo,100,100,10,0,0.668,0.087,3
geo,100,100,10,1,0.498,0.049,3
geo,100,100,10,2,0.594,0.051,3
index,100,100,10,0,0.814,0.291,3
index,100,100,10,1,0.790,0.264,3
index,100,100,10,2,0.771,0.267,3
wktstore,100,100,10,0,1.259,0.043,3
wktstore,100,100,10,1,1.311,0.044,3
wktstore,100,100,10,2,1.187,0.044,3
shapely,100,100,10,0,1.849,3.933,3
shapely,100,100,10,1,0.505,1.990,3
shapely,100,100,10,2,0.382,1.945,3
spargeo,300,300,10,0,1.658,3.005,5
spargeo,300,300,10,1,1.110,2.899,5
spargeo,300,300,10,2,1.104,2.926,5
geo,300,300,10,0,1.213,0.102,5
geo,300,300,10,1,1.175,0.096,5
geo,300,300,10,2,1.193,0.102,5
index,300,300,10,0,1.959,0.288,5
index,300,300,10,1,1.915,0.281,5
index,300,300,10,2,1.986,0.282,5
wktstore,300,300,10,0,3.069,0.099,5
wktstore,300,300,10,1,3.035,0.105,5
wktstore,300,300,10,2,3.178,0.098,5
shapely,300,300,10,0,1.476,6.232,5
shapely,300,300,10,1,1.098,6.301,5
shapely,300,300,10,2,1.181,6.309,5
spargeo,1000,1000,10,0,4.447,9.181,16
spargeo,1000,1000,10,1,3.409,9.255,16
spargeo,1000,1000,10,2,3.457,9.435,16
geo,1000,1000,10,0,3.587,0.270,16
geo,1000,1000,10,1,3.650,0.282,16
geo,1000,1000,10,2,3.705,0.267,16
index,1000,1000,10,0,6.321,0.363,16
index,1000,1000,10,1,6.355,0.351,16
index,1000,1000,10,2,6.122,0.374,16
wktstore,1000,1000,10,0,10.138,0.263,16
wktstore,1000,1000,10,1,9.630,0.270,16
wktstore,1000,1000,10,2,9.637,0.267,16
shapely,1000,1000,10,0,3.371,20.648,16
shapely,1000,1000,10,1,3.330,20.887,16
shapely,1000,1000,10,2,3.369,19.616,16
spargeo,3000,3000,10,0,11.327,26.475,54
spargeo,3000,3000,10,1,9.984,26.783,54
spargeo,3000,3000,10,2,9.849,26.296,54
geo,3000,3000,10,0,10.609,0.748,54
geo,3000,3000,10,1,10.447,0.744,54
geo,3000,3000,10,2,10.848,0.753,54
index,3000,3000,10,0,17.339,0.395,54
index,3000,3000,10,1,17.458,0.382,54
index,3000,3000,10,2,17.744,0.384,54
wktstore,3000,3000,10,0,30.073,0.755,54
wktstore,3000,3000,10,1,28.929,0.750,54
wktstore,3000,3000,10,2,28.259,0.807,54
shapely,3000,3000,10,0,9.232,61.570,54
shapely,3000,3000,10,1,8.878,60.345,54
shapely,3000,3000,10,2,8.494,60.356,54
spargeo,10000,10000,10,0,40.149,88.328,221
spargeo,10000,10000,10,1,32.305,87.496,221
spargeo,10000,10000,10,2,32.125,87.570,221
geo,10000,10000,10,0,32.970,2.513,221
geo,10000,10000,10,1,33.989,2.438,221
geo,10000,10000,10,2,33.441,2.633,221
index,10000,10000,10,0,57.948,0.675,221
index,10000,10000,10,1,58.104,0.686,221
index,10000,10000,10,2,58.058,0.750,221
wktstore,10000,10000,10,0,97.549,2.558,221
wktstore,10000,10000,10,1,97.211,2.557,221
wktstore,10000,10000,10,2,94.050,2.621,221
shapely,10000,10000,10,0,30.924,204.437,221
shapely,10000,10000,10,1,28.178,202.363,221
shapely,10000,10000,10,2,28.860,206.396,221
spargeo,30000,30000,10,0,93.288,263.091,719
spargeo,30000,30000,10,1,98.358,261.344,719
spargeo,30000,30000,10,2,93.335,259.894,719
geo,30000,30000,10,0,96.765,7.574,719
geo,30000,30000,10,1,96.359,7.519,719
geo,30000,30000,10,2,97.369,7.480,719
index,30000,30000,10,0,169.914,1.754,719
index,30000,30000,10,1,168.818,2.015,719
index,30000,30000,10,2,168.999,1.661,719
wktstore,30000,30000,10,0,314.352,7.575,719
wktstore,30000,30000,10,1,311.004,7.715,719
wktstore,30000,30000,10,2,301.562,7.651,719
shapely,30000,30000,10,0,89.934,612.291,719
shapely,30000,30000,10,1,85.990,604.310,719
shapely,30000,30000,10,2,83.378,607.133,719
