entities,profile,repeat_index,load_ms,reason_ms,added,rounds,firings,peak_rss_mb,on_disk_mb_before,on_disk_mb_after,query_ms,query_matches,geometries_scanned
1000,none,0,17.099,0.0,0,0,0,22.219,0.69,0.69,0.898,2,1000
1000,none,1,12.38,0.0,0,0,0,21.766,0.69,0.69,0.692,2,1000
1000,none,2,14.609,0.0,0,0,0,21.781,0.69,0.69,0.723,2,1000
1000,owl2rl,0,12.643,62.299,5809,3,12612,50.812,0.69,5.167,0.782,2,1000
1000,owl2rl,1,12.899,56.663,5809,3,12612,51.047,0.69,5.167,0.761,2,1000
1000,owl2rl,2,12.741,59.006,5809,3,12612,51.031,0.69,5.167,0.795,2,1000
3000,none,0,31.432,0.0,0,0,0,30.062,1.643,1.643,1.883,13,3000
3000,none,1,30.151,0.0,0,0,0,30.109,1.643,1.643,1.952,13,3000
3000,none,2,29.251,0.0,0,0,0,31.359,1.643,1.643,1.883,13,3000
3000,owl2rl,0,29.787,208.357,17409,3,37812,109.094,1.643,15.042,2.07,13,3000
3000,owl2rl,1,29.885,212.726,17409,3,37812,109.875,1.643,15.042,2.145,13,3000
3000,owl2rl,2,29.199,208.741,17409,3,37812,108.766,1.643,15.042,2.072,13,3000
10000,none,0,87.975,0.0,0,0,0,61.094,4.96,4.96,6.021,39,10000
10000,none,1,86.948,0.0,0,0,0,59.875,4.96,4.96,6.059,39,10000
10000,none,2,102.905,0.0,0,0,0,60.172,4.96,4.96,6.056,39,10000
10000,owl2rl,0,86.312,911.488,58009,3,126012,283.266,4.96,49.564,6.846,39,10000
10000,owl2rl,1,89.632,888.219,58009,3,126012,281.141,4.96,49.564,6.954,39,10000
10000,owl2rl,2,88.532,863.138,58009,3,126012,282.0,4.96,49.564,6.588,39,10000
30000,none,0,280.521,0.0,0,0,0,101.922,14.47,14.47,18.573,125,30000
30000,none,1,285.021,0.0,0,0,0,101.859,14.47,14.47,17.912,125,30000
30000,none,2,284.384,0.0,0,0,0,103.172,14.47,14.47,18.142,125,30000
30000,owl2rl,0,284.469,3378.896,174009,3,378012,807.5,14.47,148.32,20.164,125,30000
30000,owl2rl,1,276.014,3317.803,174009,3,378012,817.797,14.47,148.32,20.816,125,30000
30000,owl2rl,2,310.12,3479.032,174009,3,378012,719.125,14.47,148.32,20.418,125,30000
100000,none,0,1034.016,0.0,0,0,0,412.469,47.58,47.58,61.421,379,100000
100000,none,1,1044.467,0.0,0,0,0,409.938,47.58,47.58,61.297,379,100000
100000,none,2,1055.055,0.0,0,0,0,409.188,47.58,47.58,62.356,379,100000
100000,owl2rl,0,1085.843,15253.056,580009,3,1260012,1907.922,47.58,493.216,69.652,379,100000
100000,owl2rl,1,1112.726,14440.371,580009,3,1260012,2056.281,47.58,493.216,73.438,379,100000
100000,owl2rl,2,1047.118,14701.254,580009,3,1260012,2223.578,47.58,493.216,71.664,379,100000
