reasoner,target_triples,actual_triples,repeat,parse_ms,reason_ms,triples_out
oxreason,100,218,0,0.718,3.280,706
oxreason,100,218,1,0.443,2.942,706
oxreason,100,218,2,0.561,2.908,706
oxreason-eq,100,218,0,0.456,3.764,706
oxreason-eq,100,218,1,0.482,3.273,706
oxreason-eq,100,218,2,0.459,3.163,706
reasonable,100,218,0,0.424,0.536,569
reasonable,100,218,1,0.328,0.402,569
reasonable,100,218,2,0.310,0.380,569
owlrl,100,218,0,5.202,98.479,921
owlrl,100,218,1,5.834,96.958,921
owlrl,100,218,2,5.392,99.917,921
oxreason,300,383,0,0.658,5.617,1257
oxreason,300,383,1,0.656,5.041,1257
oxreason,300,383,2,0.764,5.176,1257
oxreason-eq,300,383,0,0.671,5.410,1257
oxreason-eq,300,383,1,0.672,5.447,1257
oxreason-eq,300,383,2,0.662,5.567,1257
reasonable,300,383,0,0.497,0.592,1060
reasonable,300,383,1,0.483,0.583,1060
reasonable,300,383,2,0.487,0.577,1060
owlrl,300,383,0,9.750,169.120,1545
owlrl,300,383,1,8.587,169.542,1545
owlrl,300,383,2,9.044,171.983,1545
oxreason,1000,1043,0,1.843,16.110,3455
oxreason,1000,1043,1,1.788,15.636,3455
oxreason,1000,1043,2,1.928,15.692,3455
oxreason-eq,1000,1043,0,1.902,17.241,3455
oxreason-eq,1000,1043,1,1.894,16.948,3455
oxreason-eq,1000,1043,2,1.870,17.942,3455
reasonable,1000,1043,0,1.226,1.343,3018
reasonable,1000,1043,1,1.212,1.374,3018
reasonable,1000,1043,2,1.330,1.458,3018
owlrl,1000,1043,0,24.551,453.283,4035
owlrl,1000,1043,1,23.145,445.368,4035
owlrl,1000,1043,2,23.983,447.653,4035
oxreason,3000,3022,0,5.578,55.666,10050
oxreason,3000,3022,1,5.576,54.216,10050
oxreason,3000,3022,2,5.547,52.951,10050
oxreason-eq,3000,3022,0,5.321,57.715,10050
oxreason-eq,3000,3022,1,5.599,53.979,10050
oxreason-eq,3000,3022,2,5.345,64.032,10050
reasonable,3000,3022,0,3.393,3.811,8893
reasonable,3000,3022,1,3.419,3.712,8893
reasonable,3000,3022,2,3.403,3.763,8893
owlrl,3000,3022,0,69.105,1310.970,11506
owlrl,3000,3022,1,67.011,1304.230,11506
owlrl,3000,3022,2,68.081,1320.220,11506
